record,name,cpf,birthday,Gluconise,Adrino_posina,Gamma_R,Nitro_K,H278,Plate,Factor_risk,norm_gamma_type,Blood_type,Blood_Rh,Low_Risk,Medium_Risk,High_Risk
79655,Nina Gonçalves,23946518060,2008-02-19,856.1492,Covered,3,3.4,8989.45,DD,5,0,,+,False,True,False
53227,Daniela da Cruz,86729043113,2008-01-06,883.3171,Capsuled,5,2.93,4272.62,CS,4,1,O,+,False,True,True
69439,Maria Vitória Ferreira,25603791802,2016-12-19,934.9901,Clinical Done,6,2.81,3084.74,X,4,0,AB,+,False,True,False
10991,Lara Cardoso,69458723000,2006-09-08,887.9531,Uncovered,7,4.95,24546.76,A,7,0,O,+,True,False,False
95380,Sabrina Castro,38624719003,2023-05-04,819.5508,Uncovered,4,3.04,5465.21,DD,5,1,O,+,False,True,False
89075,João Gabriel da Luz,14576398237,2016-05-09,881.8055,Uncovered,5,3.28,7791.95,DD,5,1,,-,False,True,True
57531,Bianca Peixoto,84375069210,2006-08-19,944.7641,Uncovered,7,3.44,9398.72,B,5,1,O,-,False,True,True
72369,Bryan Azevedo,9468732169,2021-12-04,896.6232,Capsuled,7,4.25,17523.87,DD,6,1,O,+,True,False,False
43876,Gustavo Nogueira,43291508750,2022-10-02,860.282,Uncovered,6,3.48,9792.55,B,6,1,O,+,True,False,False
47866,Thales Melo,6598371295,2016-01-20,814.2216,Clinical Done,6,2.69,1966.99,DD,4,0,AB,+,False,True,False
51967,Camila Souza,32741968519,2018-07-30,1510.0876,Uncovered,3,3.39,8969.2,A,5,0,AB,-,True,False,False
43547,Carlos Eduardo da Costa,42931506761,2021-06-17,705.3654,Uncovered,1,3.17,6741.57,DD,5,0,A,+,False,True,True
54846,Sophia Pereira,73294506856,2006-11-28,795.7171,Uncovered,2,3.29,7961.19,DD,5,0,O,-,True,False,False
18856,Isaac Silveira,85937641000,2015-04-26,1086.4791,Covered,2,3.7,12046.26,DD,6,0,AB,+,True,False,False
33210,Theo Silva,68253794100,2004-10-26,935.284,Clinical Done,7,2.78,2843.62,DD,4,1,O,+,False,True,False
60661,Davi Luiz da Cruz,25879036456,2006-10-04,1084.7649,,4,2.71,2088.16,DD,4,1,A,-,False,True,False
4700,Rafaela Duarte,24807351923,2009-09-11,1159.836,Clinical Done,6,2.62,1194.39,CS,3,1,,+,False,True,False
11044,Isabella da Conceição,39180547648,2017-06-07,1252.5227,Uncovered,3,2.82,3225.37,B,4,1,AB,+,False,True,False
48191,Laura Araújo,76913584075,2008-07-25,1150.393,Clinical Done,5,2.51,125.53,DD,1,1,B,+,True,False,False
7243,Joana da Mata,97203581659,2003-12-30,801.2478,Uncovered,6,3.49,9947.73,X,6,1,,-,True,False,False
14958,Maitê Barros,40687519357,2022-06-13,1221.8287,,9,2.85,3520.52,X,4,1,,+,True,False,False
70194,Emilly Nunes,36870194203,2012-10-08,647.0165,Covered,5,2.71,2096.27,X,4,0,O,-,True,False,False
83145,Thales Oliveira,70956423892,2008-12-06,977.1157,Capsuled,2,2.6,1023.89,CS,3,0,O,+,True,False,False
55943,Dra. Lorena Moreira,51970824611,2005-07-14,900.3652,Covered,7,2.83,3359.84,X,4,1,AB,+,True,False,False
48561,Helena Cardoso,18390567202,2001-01-19,787.8402,Uncovered,12,2.74,2442.25,DD,4,0,AB,+,False,True,False
14073,Srta. Maria Alice da Mota,34895620115,2004-08-11,1118.3333,Uncovered,3,2.84,3385.67,X,4,0,O,+,False,True,False
58194,Natália Nascimento,32908647583,2013-03-31,963.3487,Uncovered,5,3.14,6397.92,CS,5,0,O,+,True,False,False
59265,Alana Lopes,54317620952,2017-10-17,1203.9709,Uncovered,3,3.3,7996.4,DD,5,1,,+,True,False,False
44239,Marcela Rezende,1987364287,2020-10-14,703.5069,Covered,6,4.37,18673.1,X,7,1,,+,True,False,False
99547,Camila Castro,60752348108,2013-03-02,1169.2624,Uncovered,4,6.97,44685.02,A,8,0,,+,True,False,False
59118,João da Rosa,63471052844,2023-04-05,1099.588,Clinical Done,4,2.55,523.53,,2,1,O,-,False,True,False
41184,Dra. Maria Nogueira,49786510267,2007-09-25,1025.3008,Capsuled,5,2.76,2663.7,B,4,0,A,+,False,True,True
82216,Caio Nogueira,69231074580,2007-05-11,716.2379,Uncovered,2,3.53,10331.42,,6,0,AB,+,False,True,False
47468,Stella da Paz,82507319640,2016-05-02,949.6452,Covered,5,2.68,1783.51,CS,3,1,A,+,False,True,False
90043,Vinicius da Mota,31780695420,2010-01-24,690.6651,,7,4.54,20435.94,CS,7,0,,+,True,False,False
47945,Yasmin Cunha,75249083692,2019-03-08,583.4696,Uncovered,4,2.75,2473.87,CS,4,1,AB,+,False,True,False
68075,Paulo Pinto,91708425667,2010-09-13,1655.9491,Uncovered,1,3.85,13560.97,X,6,0,,+,False,True,True
24142,Eloah Silva,72618509420,2012-07-01,1194.1723,Covered,2,3.56,10607.4,DD,6,1,O,+,False,True,True
68062,Camila Rezende,24950763865,2012-04-26,1358.5186,,5,4.1,16061.31,DD,6,0,AB,-,True,False,False
23150,Srta. Sophie Cardoso,79014256876,2006-04-07,914.1973,Capsuled,0,2.53,339.96,DD,2,1,,+,True,False,False
90719,Sr. Luigi Teixeira,85497263038,2013-08-18,1139.2396,Clinical Done,5,2.76,2630.62,B,4,1,AB,+,True,False,False
54048,Mirella Campos,67815293077,2002-09-14,1139.4833,Covered,6,3.72,12217.68,DD,6,1,O,+,False,True,True
55056,Luiza Melo,45321890714,2014-07-22,1120.3032,,3,2.59,938.86,X,3,0,,+,True,False,False
38293,Emanuelly Santos,27153908404,2019-05-07,1000.7319,Capsuled,4,2.53,333.17,B,2,0,,-,False,True,False
25515,Alice Cardoso,52697481346,2017-05-27,954.3505,Covered,3,2.94,4440.7,,4,0,AB,-,True,False,False
40506,Sophia Monteiro,93287456083,2012-04-24,586.0775,Uncovered,3,3.39,8933.17,DD,5,1,O,+,False,True,False
10161,Vitor Hugo Nunes,95761480301,2014-11-10,1122.0288,Clinical Done,3,2.55,558.86,X,2,1,B,+,True,False,False
53951,Renan Cunha,86203159433,2016-05-09,1084.6994,Uncovered,3,2.57,701.69,X,3,1,B,-,True,False,False
26835,Davi Lucca Sales,53974801260,2009-05-12,1223.5773,Covered,2,2.54,467.26,CS,2,1,AB,+,False,True,False
86525,Letícia Gonçalves,35978240132,2020-03-14,945.1516,Uncovered,6,3.0,5050.26,X,5,1,AB,+,False,True,True
49249,André Gomes,21709536470,2002-06-21,1348.3624,Covered,6,3.6,11061.57,B,6,0,O,+,False,True,False
7176,Letícia Almeida,57186029485,2016-09-23,910.4998,Covered,7,2.72,2229.3,CS,4,1,O,+,True,False,False
22123,Sr. Luiz Otávio Nascimento,89730162530,2015-09-18,748.9146,Covered,5,4.59,20918.75,X,7,0,A,-,True,False,False
44118,Laura da Rocha,1265738912,2003-04-13,,Clinical Done,5,3.07,5685.69,DD,5,1,A,+,False,True,False
69720,Gabriela Sales,96457132855,2022-12-25,906.3307,,5,3.47,9688.91,,5,0,O,+,False,True,False
54639,Beatriz Rocha,76839041204,2013-02-02,749.0559,Covered,7,2.84,3453.42,CS,4,0,A,+,True,False,False
71307,Dra. Raquel Jesus,48539217619,2018-04-05,1024.9647,Clinical Done,5,3.46,9574.23,A,5,0,AB,+,False,True,False
6913,Francisco Lopes,34702951823,2005-12-13,1151.3004,Covered,7,5.57,30739.99,X,8,1,AB,-,False,True,False
91051,Isaac Lima,40873961269,2019-07-10,1048.2879,Covered,3,3.09,5964.84,A,5,0,O,+,False,True,False
56005,Melissa Novaes,38602914598,2008-08-15,1099.4851,Covered,7,2.73,2342.45,DD,4,0,AB,+,False,True,False
12091,Ana Laura Silva,87942501620,2013-03-05,1821.7385,Capsuled,6,3.05,5562.74,A,5,1,AB,-,True,False,False
68671,Cecília Novaes,17864032931,2017-09-16,1164.2242,Clinical Done,3,3.09,5902.7,B,5,1,AB,+,False,True,False
19591,Marcela da Costa,17352069895,2022-07-03,1306.3521,Uncovered,2,3.21,7107.49,B,5,0,A,+,False,True,False
64848,Marina Carvalho,64019753261,2016-08-27,602.8308,,4,3.25,7482.35,B,5,0,O,+,False,True,False
17769,Augusto Dias,14083952660,2010-10-04,1073.0107,Uncovered,8,2.54,456.06,,2,1,B,+,False,True,False
23900,Maria Eduarda Dias,89715643264,2001-07-24,1154.8164,Covered,8,2.68,1818.78,X,3,1,O,-,False,True,False
7375,Emilly Caldeira,79834561075,2017-07-04,927.1042,Uncovered,5,3.1,6005.0,CS,5,0,B,+,True,False,False
11921,Carlos Eduardo Nascimento,69724013561,2003-06-08,824.8041,Clinical Done,3,3.73,12331.53,X,6,1,B,-,True,False,False
56735,Sr. Ian Moraes,60413927580,2008-08-19,1079.304,Clinical Done,2,4.0,15054.73,B,6,1,O,+,True,False,False
11554,Isaac Ramos,9618437566,2002-04-30,937.0765,Uncovered,7,4.0,15032.95,X,6,0,AB,+,False,True,True
72656,Sr. Luiz Felipe Pires,9715264867,2015-05-12,881.2489,Clinical Done,2,3.2,7009.7,DD,5,1,,+,True,False,False
16682,Lucas Gabriel Cunha,2149856360,2015-01-04,1229.9001,Uncovered,5,5.64,31429.52,DD,8,1,O,-,False,True,False
49700,Sra. Maysa da Rosa,61074859294,2006-06-14,1267.1132,Uncovered,2,2.9,4055.28,DD,4,0,B,+,False,True,False
66070,Igor da Cruz,7291834597,2000-01-04,1060.5259,,6,3.16,6589.85,DD,5,1,A,+,False,True,True
42079,Vitor Gabriel Moura,34901256734,2020-06-09,1102.8741,Clinical Done,6,4.45,19530.49,CS,7,1,O,+,True,False,False
67473,João Gabriel Cunha,56198043215,2021-10-11,1165.8917,Capsuled,3,3.04,5374.71,B,5,1,,+,False,True,False
35885,Enzo Fogaça,85764231035,2023-03-10,1126.1244,,6,4.39,18906.38,B,7,0,O,+,True,False,False
28681,Maysa Nascimento,67134520862,2000-04-04,709.3271,Clinical Done,6,3.09,5902.64,CS,5,0,O,+,True,False,False
16804,Sofia Mendes,70891345639,2011-07-31,932.3964,Uncovered,6,3.76,12601.41,B,6,1,A,+,False,True,False
97010,Thiago Santos,89026431589,2022-12-06,1071.8267,Capsuled,3,2.51,107.34,CS,1,0,O,+,False,True,False
52200,Olivia Martins,36802914778,2006-08-25,1124.4441,Clinical Done,6,2.53,277.74,X,2,0,AB,+,False,True,True
77139,Sra. Sophia Gonçalves,28403165951,2015-06-18,1192.1564,Covered,6,5.32,28231.97,CS,7,1,B,+,True,False,False
48986,Mariane Cardoso,4657289365,2008-11-16,1151.6741,Clinical Done,2,2.61,1099.89,A,3,1,B,-,True,False,False
6502,Dr. João Vitor Rocha,81697324509,2008-06-21,773.1363,Uncovered,5,3.58,10868.64,CS,6,0,O,+,False,True,True
3256,Francisco Moraes,63908154766,2000-10-19,858.5158,Uncovered,4,2.83,3352.9,CS,4,0,,-,True,False,False
27016,Luana Carvalho,41576093280,2004-11-18,755.7142,Clinical Done,6,2.72,2264.47,DD,4,0,A,+,False,True,False
28028,Ian Nascimento,35640287144,2022-07-08,1360.8953,Clinical Done,4,2.99,4938.19,,5,1,AB,+,False,True,False
718,Antônio Cavalcanti,41893025705,2014-11-14,1036.082,Covered,4,5.1,26046.11,X,7,0,,+,True,False,False
52273,Sr. João Gabriel Cardoso,15260879368,2000-01-01,1110.6329,Uncovered,7,3.34,8468.58,B,5,0,AB,+,False,True,False
68659,Dra. Larissa Alves,90685214702,2009-04-29,1206.6058,Capsuled,7,4.99,24877.32,A,7,1,A,+,False,True,False
14451,Giovanna Duarte,97654120885,2015-03-04,934.1995,Uncovered,6,3.71,12137.99,B,6,0,O,-,True,False,False
8091,Joana Viana,38215647928,2009-12-10,769.7994,,3,3.2,6978.33,X,5,0,O,+,False,True,False
84163,Lucas da Costa,79403152699,2014-12-24,914.6955,Clinical Done,3,3.21,7076.46,B,5,1,AB,+,True,False,False
23631,Dr. Eduardo Sales,30782415997,2020-06-14,970.3706,,5,2.75,2492.01,X,4,0,O,+,False,True,False
86914,Danilo da Rocha,71263408508,2000-04-08,1300.2874,Clinical Done,4,2.5,69.24,B,1,1,AB,+,False,True,False
15638,Dr. Danilo Peixoto,62073981496,2011-06-30,1173.9196,Uncovered,4,3.04,5432.54,DD,5,0,A,+,True,False,False
20741,Dr. Bryan Mendes,2197368478,2017-06-06,782.5819,Clinical Done,2,3.33,8309.33,B,5,0,A,+,True,False,False
72837,Felipe Duarte,76549082374,2018-05-28,1132.8443,Uncovered,2,4.59,20942.65,B,7,1,,-,False,True,False
80229,Dra. Amanda Mendes,63489725182,2014-05-12,1146.9769,,7,3.63,11341.65,,6,1,AB,+,True,False,False
87389,Sr. Danilo da Luz,95681702359,2015-11-28,787.7269,Clinical Done,3,4.35,18495.2,X,7,0,,+,False,True,True
71820,Leandro Pires,74125689300,2007-03-30,978.2966,Capsuled,4,5.11,26081.22,B,7,1,B,+,True,False,False
63708,Cauê Martins,45371602925,2017-06-26,629.9192,Clinical Done,6,5.33,28344.34,DD,7,0,AB,-,True,False,False
33158,Maria Julia Correia,98254367191,2012-01-29,1066.0976,Covered,6,4.19,16951.74,X,6,1,O,+,True,False,False
40561,Dr. Enzo Barros,21648593755,2008-08-09,936.8614,Capsuled,2,2.64,1431.16,DD,3,0,A,+,False,True,False
43052,Stella Ribeiro,53461987255,2013-11-09,729.9996,Uncovered,5,2.93,4278.62,B,4,1,O,+,True,False,False
6661,Mariane Lopes,74138605975,2020-05-30,860.3658,Clinical Done,1,2.73,2360.79,A,4,0,B,+,False,True,True
50064,Mariane Carvalho,42173980505,2016-10-02,1047.9902,Clinical Done,3,4.52,20225.29,B,7,1,B,+,False,True,False
3781,Maitê Teixeira,76458921020,2000-12-16,889.4101,Clinical Done,11,4.07,15740.56,X,6,0,AB,+,False,True,False
57140,Luna Nunes,6523791840,2020-04-16,1059.9054,Covered,8,2.93,4314.98,A,4,0,B,+,True,False,False
